	H1C	H2C	H3C	C1C	C2C	C3C	gor1C	Pon1C	SiaC1	SiaC2	rhesus1C	rhesus2C	rhesus3C	Bab1C	Bab2C	Bab3C	Mar1C	Mar2C	Mar3C	sqmnky1C	saki1C	ateles1C	ateles2C	Nem1C	patas1C	patas2C	patas3C	lemur1C	lemur2C	eulemur1C	sleloris1C	slowloris1C	slowloris2C	pygslowloris1C
NG_008134.2	6876.92	1370.61	3335.44	2390	729	1002	2723.75	1038	4179	8627	4762.23	5473.26	2434.27	4971.89	17295.44	19841.18	6542.41	14260.59	10009.85	7674.87	5599.37	1061.81	2432	4555	2813	3457	2286	5402	1931	1124.78	5474	575	210	1053
NG_008138.1	2563	701	1696	2181	2379	2000	349	42	3209	3259	20	30	18	66	25	21	22.97	37.77	43	212	1044	22	0	45	24	21	52	34.38	21.31	36.31	94	1023	478	2
NG_008139.1	9	7	0	17	8	1	8	16	30	70	2	6	1	135	241	216	21	49	31	3	35	60.01	1	2	152	179	137	6	3	28	13	230	234	4733
NG_008143.1	9681	3858	5428	8575	4177	3167	5496.08	4000.32	93	633	5345	3525	3137	4992	683	346	435	900	1241	1091	9208.57	1247	1361	4317	2871.76	3325	3785	128	89	135	652	3622	435	14
NG_008154.1	1867	692	1252	2132	1161	1873	53	115	123.92	1113.01	100	74	52	43.69	77.54	43.87	486	436	353	94	581	2222	713	212.8	1792	2630	1957	2544	874	4266	2498	4025	3436	1021
NG_008155.1	75	90	17	20093	12099	7283	37	1490	42.51	156.28	14291.31	17165.8	8965.58	81	36	13	7723	10499	7874	1588.22	7746	5553	3683	32	7795	10348	5214	13584	6434	7140	12	4155	2214	2466
NG_008178.1	68	14	23	164.63	41	15	220.61	12.12	92.96	352.73	650	680	444	355.93	108.32	40	665	551	649	23	13	61	0	195.91	174.17	318.7	318.43	1	5	13	3	0	29.41	220
NG_008179.2	13174	4812	9374	4420.64	2420.07	1112.76	7050.04	65	37.27	61.28	396.36	215.12	155.56	9891.15	5260.1	3820	288	443	324	5569.52	153.71	4765.69	513	6725.45	176	255	451	167.15	5.47	5	3188.02	4198.21	1587.78	5966.47
NG_008182.1	2391	642	1847.67	2389	975	555	1440	7	1393	1881	2244.16	2185.27	1238.12	37	6	1	1559.28	1583	1373	21	7	58	523	19	20.61	14.82	39.65	20	7	5	962.85	1	1	5
NG_008197.1	47	63	12	31	41	47	30	24	146	467.37	9	8	7	13	7	5	0	0	2	3	10	2	16	40	263	293	249	15	1	3.87	181	72	0	3
NG_008198.2	826	226	990	196	179	152	1252	471	156	146	1247	1561	903	253	94	25	2543	2404	2648	104	129	688.31	1317	165	656	1243	1009	9	9	290	60	328.57	71.81	353
NG_008200.1	78	17	20	1730.22	2003	1384	27	33	89.51	100.84	32	30	33	91	7	1	522	394	402.99	58	27	66	153	38	25	16	27	4	3	4	0	13	0	3
NG_008218.2	35	14	18	1864	1523	884	49.37	1104	2990.9	3931.85	31	24	10	2588.92	3690.69	4629.3	3080.59	4249	2829.3	1604.57	1454.69	84	0	1580	12	14	30	7	1	3130.24	174	1352	461	2663.43
NG_008227.1	170	103	77	649	152	140	465.41	780	113.03	311.02	299.76	282.44	165.37	2303.75	1384	1008	80	81	39	389	68.05	521	421	151	213	377	575	49.43	24	65	175	407	140	822
NG_008228.2	4	1	6	39.17	1	0	23	15.49	252	437	38.89	25.55	19.48	48	2	1	30	15	23	21	4	7	0	19	32	35	102	22	12	22	24	7	6	4
NG_008232.1	8	5	2	15	6	11	16	32	8	13	38	24	20	10	12	3	2735.85	3411.34	2065.27	20	26	49	0	24	1075	828	731	37	11	48	950.77	122	82	616.63
NG_008238.1	110	39	53.16	123	3	0	68	10	21	10	26	25	25	85.87	46.21	20.65	22.83	50	39.43	84	15	119	2	38	194.04	330.72	498	10	5	9	183	18	0	4
NG_008239.1	1923	741	843	2222.72	1379	1527.83	5894.64	21	10107	8576	6588.81	5863.38	3443.68	191	165	218	7228	9302	6311	111	3303.08	7697.96	3148.85	5826.94	6019.13	4988.45	5463.49	7174	7217	289.51	13640	5178	5674	7815
NG_008245.1	84	10	23	2539.55	667.76	266.57	1744	26	1074.93	1402.89	1379.42	1257.44	850.82	42.16	32.03	19.8	2650.56	2612.73	2018.65	1393	1763.34	143.52	5.67	1118	1193.21	1103.35	1332.9	1718.3	2240	13.04	1438.13	3055	720	31
NG_008246.1	370	156	216	49.26	18.21	9.06	457	366.3	505	1467	773	761	468	175	96	45	56	75	35	95	95	47	13	447	350	624	817	1578	1219	10	85	69	16	4
NG_008247.1	4789	932	3259	719	765	362	230	208	3754.33	7102.08	123	111	115	13	9	1	202	229	184	87	37	2317	272	279	2835	5036	4849	10	0	6	19	42	6	14
NG_008248.2	89	26	52	1488.83	400	191	8.58	1666	932	1114	117	85	83	4223	457	150	12	19	6	4427	4263	5034.72	2474	2812.86	5	25	27	4347	2219	5	0	1	3	17.71
NG_008270.1	248	140	178	1153	225	402	155	126	680.98	689.47	1423	1660	1119	995	217	101	212	181	113	225.02	1319.04	808	440	229.95	778	1015	1050	1	4	1146.4	1	1202.84	937.7	1104
NG_008273.1	85	82	35	5753.51	3650.8	1858.64	3761	14	75	8	99.02	49	36	122	41	10	37	35	0	2164.29	627	149	17	77	22	36	38	27	9	148	24	8	21	9
NG_008278.1	19	1	10	25	0	6	30	369.06	52	111	44	44	23	18	19	11	30	45	30	28	15	2189	539	13	43	35	55	3	1	4	41.89	47	22	3
NG_008284.1	823	205	593	9	7	12	576	7	18	23	2990.97	2962.64	1620.89	3029	6928	8495	1494	1074	1004	384	13	131	852	1256	622	877	919	1272	1246	10	756	48.85	39	108
NG_008288.2	260	76	181	447.01	85	227	205.3	11	429	267	343	424	264	882	937	827	229	226	230	29	880	152	152	468.41	162	493	574	348	103	31	4260	2334	2253	17
NG_008289.1	667	314	288	8	0	75	55.28	2	63	4	7	28	2	7	0	1	52.9	70.95	42.86	14	34.58	8	95	13.28	21	49	40	77	175	17.18	38	23	19	4
NG_008292.1	139.62	113.32	51.88	255.75	13.93	34.02	16	104	279.9	176.59	238.5	232.88	178.25	252.62	41.5	9.59	188	134	192	244.96	122.8	475.95	67.68	220.6	62	40	40	126.84	64.23	91	274.28	188	77	23
NG_008305.1	49	17	27	5820.16	7817.38	9714.09	107	145	2569.85	4540.72	1305	1024	677	72	40	20	100	107	71	63	43	142	0	22	112.84	196	92	2	0	51	110	49	74	58
NG_008315.1	0	0	2	25	0	17	15	4	0	2	4	4	2	11	15.04	14.71	61.02	94	45.28	2	6	8	14	3	6	6	4	45	7	9	4	7	1	7
NG_008317.1	741	1514	235	190	173	474	48	82	2045	912	395	392	450	1195	93	10	276	323	843	773	487.03	649	404	516	530.57	259.59	259.95	500	31	875	1288.54	1441.74	772.4	2678
NG_008319.1	695.61	354.58	568.81	0	331.62	768.72	36	294	954.74	1294.88	1165	1066	539	2316.34	7066	10359	226	610	429	408	243	853	796	792	1882	1459	1134	242	188	35	198	38	16	562
NG_008338.2	17	18	10	13	7	54	14	128	334.09	201.72	161	136	121	8	0	0	23	9	11	97	3	215	421	15	34	42	59	0	0	4	5	0	28	18
NG_008340.1	25	14	6	13	8	46	38	13	1119	1241.73	1030	1011.97	571	1195	2240	3053	314	257	163	28	37	32	35	865	1280	1337	901	11	2	231.71	62	20	18	15
