	H1C	H2C	H3C	C1C	C2C	C3C	gor1C	Pon1C	SiaC1	SiaC2	rhesus1C	rhesus2C	rhesus3C	Bab1C	Bab2C	Bab3C	Mar1C	Mar2C	Mar3C	sqmnky1C	saki1C	ateles1C	ateles2C	Nem1C	patas1C	patas2C	patas3C	lemur1C	lemur2C	eulemur1C	sleloris1C	slowloris1C	slowloris2C	pygslowloris1C 
NM_006948.4	1275	385	1006	1560	836	907	736	891	363	1167	994	961	713	1070	164	42	2883	2203	2445	837	778	279	471	484	683	1615	1375	4311	1323	1591.41	232.28	1119	458	3226
NM_006950.3	5198.26	776.98	3165.9	3944.82	2016.69	3471.2	5319.86	2962	6449	6132	3544	4837	2159	3951.89	8680.29	14678.16	1332	2415	1936	1897	3171	3048	6227	4650.38	5707.77	6217.18	4913.32	5740	2493	17710	3105.95	1937	1095	6192
NM_007046.3	122	54	121	74	73	167	100	118	0	1	152	127	51	83	170	217	4	6	1	25	100	75	514	65.42	304.94	296.96	224.6	22	8	49	63	39	63	126
NM_007055.3	796	129.58	499.07	1629	752	308	842.51	949	558	1511	1726	1453	907	1157.68	1549.14	900	1438.22	1619.97	1260.51	1869.34	1446.04	1844	46	507	834.63	1171.79	1424.38	972	436	2245	75	2334.8	618.01	2248
NM_007084.3	139	52	108	60	91	121	42	74	48	54	115	108	71	162	501	416	155	210	171	49	29	52	77	79	126	139	76	46	178	140	8	692	338	2006.7
NM_007129.3	4933	1927	2269	4790	3074	4351	4279	2841	1009.59	3104.76	5992	5683	3933	4950	4617	5483	8113	4789	4402	2177	2816.48	6935	4905	442.45	4678	4017	5028	4951	1845	5304	2672	2796	1107	6636
NM_007167.3	748	163	399	1129	259	170	385.53	34.44	265	747	588	597	452	491	129	46	1177	839	778	291.49	2543	779	358	666.29	299	419	427	1780	1504	313.28	54	774.83	364.3	2104
NM_007178.3	3294	802	2573	2662.13	1819	1579	2166	1044	1545	2625	2347	2130	1328	2275	1392	1357	3165.43	2790	2714	753	928	2432	1128	1857	2181	2320	1979	3195	1780	3632.74	1055.38	1228	493	2987
NM_007191.4	325	55	682	929	70	204	1030.3	1204	280	641.57	46	63	21	28	31	5	302	478	235	488	173.15	21	23	9	359	437	256	107	118	8	51.27	12.7	1	79.33
NM_007198.3	693	178.01	78.1	918.68	585.89	389.91	559	626.88	234.88	1041.32	433	372	198	1078	695	490	738	1070	895	537	462.69	497	25	557	740	859	651	601	487	552	6	1461.35	183	578.35
NM_007212.3	395.31	99	286.83	285	124	27	370	123	276	609.2	788.31	554.44	512.43	606.76	205	164	595.49	547	718	358	420	259	30	535	330	498	473	818	355	139.46	8	421	144	454.77
NM_007269.3	1250.41	246.06	1022.14	2075	467	812	1281.46	830	668	1227	768	775	591	1205.7	269.62	274.03	1325	1048	795	454	463.77	764	935	555	542	731	624	724	575	203.81	208	386	206	927
NM_007371.3	108	10	126	433	99	140	1205.49	583.77	1037	1251	477	575	243	2025	3048	3439	659.42	784.84	633.58	1302.63	465.84	547.97	120	780	693	975	1045	4260	2264	797	2242	3658	3337	1617.74
NM_012082.3	3074	638	1579	3653.21	1761.79	2138.24	2930	1823	1848	3701	2903	2764	1793	3804	1809	862	26451.25	35303.38	22647.21	2777	2804	676	3507	2208	1922	3056	4120	3319	1134	3451.12	242	3432	687	3770
NM_012086.4	608	156.63	456	812	362	153	845.9	564	763	2065	124.46	82.16	43.6	798	231	119	56.57	126.32	115.55	504.79	500	640	307	615	446	508	761	962.09	512.26	430.45	39	597	190	930.64
NM_012137.3	208	26	239	1114	171	77	2666	1256	259.65	1114	4858	4291	2875	1589	1373	1444	1395	1847	1459	621	679	607	608	420	1101	2110	2196	320	162	1638	0	125	175	134
NM_012138.3	1526.27	314.9	1226.04	877.53	475	463	548	351	899	1133	903.2	684.5	417.81	861	1054	1277	1286	1212	1002	1018	1083	1151	376	576.38	448	425	427	762	542	1285.2	297	979.58	749.48	888
NM_012154.4	71.76	22.35	29.74	368.53	41.92	83	286	142	84	216.86	2287	1838	1083	1215	1352	937	2832	3301	2663	460	237.38	225	206	65	1858	3788	4517	107.79	153.72	119	6	610.92	141.65	834
NM_012157.3	711	198	434	889	382	151	286	225	210	375	629	656	400	674	232	161	610.26	623.92	410	363.56	464	632	211	331	378	452	373	2771.95	2148.92	2234	154.62	2262.9	801.64	4147.82
NM_012158.2	1765	418	1341	2354	980	916	1728	1072.93	949	2209	2637	1913	1422	2597	928	841	2181	1969	1933	951	1933	1306	910	1751	1871	3074	2346	1578	765	968.21	325	1764	1022	2279
NM_012164.3	1472	472	847	1722	503	180	1010	893	926	1274	1473	1485	867	1291	792	656	2857	2115	1879	1636	1157	2348	778	1410	790	1271	1204	2137	1284	1521	94	1343	151	1679
NM_012193.3	34	30	28	42	16	9	38	41	104	349	125	152	62	91	80.42	54.23	417	455	297	234	188	160	10	68	80	137	123	198	65	15	0	1	1	40
NM_012258.3	1037	411	724	1646	986	500	508	123	463	681	722.09	578.86	453.52	861	803	880	1993	2268	1667	321	374.9	1134	439.01	287	1063	970	688	558	488	756	61	848	419	1121
NM_012262.3	176.75	27	129	258	67	27.51	318	228.01	360	358	269	366	193	342	134	64	495	537	596	393	291	247	23	141	2318	2665	3144	121	143	232	49	1110	766	434.98
NM_012319.3	1580	452	1140	1390	695	673	1592.21	1153	1294.37	3753.71	1694.09	1692.15	950	2972.4	1226.68	698.29	3657.7	3406.69	3078.21	850	1125	1838	981	1131	1043	1377	1243	3006	1309	4558.18	375	1666	543	2393
NM_012325.2	799	296	836	823	383	380	658	555	417	667	1092	826	532	790	700	567	2084	1994	1756	373.41	577.14	1332	365	642	1049	1197	838	1369	1201	1616	219.76	567	223	1340
NM_012341.2	712	198.77	599	1071	242	201	905	542	270.53	626.45	610.14	624	328.37	904	298	199	2528.07	1963.26	1300.69	1052	1094	1808	354	486	472.1	579.12	605.39	1296	594	1109.02	794.77	804	509	998
NM_012412.4	873	190	807	1089	345	336	663	444	466	1225	1668	1369	783	1320	1696	1453	1190	1546	1473	1358	785	1140	371	852	1062	1542	1371	1815	2009	1023	75	472	78	202.16
NM_012414.3	539	177	481	1248.09	252.3	43.91	928.7	708	674	1565.29	1846	1944	1184	1452	315	68	4771.53	4411.49	4866.75	1589	1572	1012	197	891	608	1468	1543	1317	651	599.5	499	1664.47	335	1597.24
NM_012425.3	702	180	508	670	489	166	218	407	315	453	353	307	210	173	92	71	318	313	307	185	286.69	817	119	306.91	356	334	220	191	213	257	19	193	102	285
NM_012426.4	2634	551	1396	4478.97	2255.38	2713.28	1838	1765	2840	5384	4067.26	3349.16	2114.01	3850	6169	5873	4075	4657	4207	2588.42	2631.61	3412	506	2270	3080	3173	3277	3820.28	2194.64	4414	128	1954	451	3016
NM_012469.3	5397.9	1180.24	3845.68	6785	7113	8333	6365	2522	8253.46	8036.67	4235.27	3201.76	1829.66	5557.33	9466.47	14184.53	5003.94	6355.68	4135.06	2098	4986	4972	1747	3196	3895	3400	3377	4925	2159	32531	2690.94	3599	1634	3002
NM_013271.4	99	29	3530	4255	22115	29238	1848	2459	9895.15	6278.13	853	1756	545	4157.81	15154.68	20113.13	683.09	4150.74	2701.57	1290	996.29	3365	22538	472	8936.98	8950	2932	4054	4202	6768	1494	981	1106	7389
NM_013286.4	2606.75	789.3	1585	821	903	752	666.25	467	0	0	761	649	355	764	1584	1927	852	1065	784	578	499	1335	395	461	726	753	614	1101	524	656.13	45	552	221	783
NM_013318.3	9666	2576	5035	11784	4630	3149	6776	5778	5350.87	13649.22	13514.39	12919.48	6668.62	1165	5262	7430	8858	10513.53	7612	10795.18	8631	11067	663	4103.55	10041	13893	15117	12030	4336	22547	327	5784.07	797.83	6451
NM_013349.4	1319	511	1484	759	2319	1823	328.3	574.1	1057	820	412	202	130	405	639	794	445	419	341	41	46	291	145	223	508	505	454	703	932.03	725.97	18	135	136	768
NM_013943.2	2	0	6	1058	373	808	472	568	152	487	847	646.29	430	586	278	209	1961	1457.38	1623.94	475	670	553	986	570	1217	1642	1047	2502	1005	1022.92	1	674	184	161.99
NM_014008.4	570	192	342	127	112	96	155	437.45	650	958.44	1159.18	997.23	549.98	1002.87	1817.62	3180.99	1020	1279	898	388	305	1012	659	807	1449	1181	1153	532	462	1448	927	399	213	795
NM_014028.3	840	245	643	1122	781	462	766	384.65	693	1065	1103	1115	573	901	319	268	1132.02	988.1	912.57	629	311	504	118	574	796	1051.09	762.9	612	387	209	113	498	262	1107.74
NM_014110.4	432	55	311	573	300	110	440	293.11	889	1328	1316	1091	647	1088.14	691.98	539.33	1125	941	903.98	219.69	376	538.56	39.37	453	1094	1320	1190	1371	808	1198	353	573.94	267	1354.71
NM_014187.3	606	178	547	364	1071	1078	211	163.19	233	322	885.58	678.71	427.03	308	503	637	297	370.59	236	69	59	409	1185	659	436	430	230	592	489	420.74	39.16	74	36	343
NM_014229.2	345	370	120	454	237	800	144	198	29.14	106.74	276	206	133	244.25	1157.52	1349.89	824	868	693	371.38	320	378	48	79	215.59	468.69	340.02	335	395	31.55	8	479	594	1755
NM_014230.3	2538	501	1756	1376.28	450	106.82	2112	1485	2127	3263	3292	2582	1630	2943	2037	1865	1518	1732	1471	1920	2024.07	1981	391	2583	3341	3688	2736	4542	2910	3874	1282	3308	1497	4511
NM_014235.4	1080	328	821	960.61	1537.02	1606.87	729	718	581	785	1017.3	870.52	524.43	746	1961	2599	1243	1239	997	313	551	1536	807	948	1365	1372	863	5147	4986	8142	0	222	119	334.84
NM_014290.2	462	126	421	582	264	98	365.77	423	262	493	840.34	731.57	477.72	88	54	41	1136	1075.37	976	380	544	863	137	540	508	723	666	2750	1485	720	16	533	184	687
NM_014291.3	674	174	595	483	1021	1388	257	339	927	714	274	249	136.44	440	1073	1431	396	470	274	168	228	485	1046	301.69	438	457	419	310	207	905.16	129	173	102	449
NM_014292.4	4395	1614	2345	10803.88	7553.85	13102.88	6258.52	2346	2050	5189	2855	2526	1303	3955.88	16110.6	22552.54	6168.27	10915.79	9174.66	3566	4984	4165	6977	3490	2571.6	2818.24	2252.54	589	300	10138	15410.86	4479.45	5638	2852
NM_014293.3	589.49	182.14	325.92	2525.42	1690.36	626.48	1954	2198	2851	4412	2521.3	2726.92	1440.67	4106	7760	13876	2809	3358	2655	4620	2372	2062	832	3521	3447	3617	3499	7407	2525	339	84	10	1	29
NM_014319.4	397	33.32	329.26	1981	1030	1171	871	580.89	256.14	1354.28	1157.58	1058	724	1250	732	720	1809	2068	1839	1296	985	1197	768	522	518.33	1319.92	934.57	1039	599	1128	361.54	1661.46	422.68	2988
NM_014329.4	383	24	234	873.95	610	354	1563	1416	3837.8	4775.16	2451	2011	1182	2366	2939	4323	487	544	330	603.31	998	1921	1125	1737	1730	1516	2055	1967	1677	2358.74	817	942	391	2887
NM_014332.2	169	17	179	98	118	91	89.88	174	84	103	203	242	116	217	322	207	185	200	205	7	12	142	48.83	325	424	480	213	299.69	187.14	399	233.75	143	97	567.72
NM_014334.3	2008	542	1766	1861	1222	913	1763	620.27	1033	1862	1417	1769	964	779	612	334	6371	5990	6541	1808	1234	673.01	84	3460	222	1405	1179	704	610	2399	1027	745	94	710.49
NM_014342.3	2304	561	1936	1941.78	1040.78	759.59	1694	749	919.42	1340	2251	1610	1226	2364.51	1528	1196	3383	3314	3445	708	983.52	2053	541	453.6	1435.12	1654.7	1561.22	2182	2495	2366.57	319	927	510	1743
NM_014365.2	460	183	244	812	794	1050	319	530	710	652	528	555	221	629	1835	1783	910	812	533	95	28	858	941	214	457	448	270	2045.76	3993.66	4146.15	74.35	136	24	209
NM_014379.3	5	1	0	37	55	14.36	5	54	6	3	3	4	3	71.79	17.07	4	7	8	41	70.66	3	0	0	6	35	269	28	59.21	65	222.84	0	6	2	9
NM_014390.3	3304	711	2851	3262	2987	4896	3566	1498	1745	3565	2216	2626	1220	3302	5748	6421	2719	3293	2780.96	1122	1962	2622	721	2163	2856	3186	2821	2792.53	2015.82	3489	273	2651	712	3885
NM_014487.5	1050	246	714	700	259	188.9	1500	328	853.55	809.32	504	529	254	545	336	269	1019.76	1112.63	888.28	420	228.04	664	135	614	476	542	374	1267	1065	586.55	163	252	168	713
NM_014503.2	651	286	237	996.44	265	149.23	1115	129.87	266	743	841	859	554	512.94	110.45	38.61	2133	1744	1998	890	643.52	926.93	187.09	445	451	752	894	1791.04	742.25	15	239.81	1030	263	1419.05
NM_014547.4	149	48	105	225	33	17	124	28	19	80	276	249	131	93.67	122.07	83.77	584	616	729	387	300.14	55.37	0	113	165	322	275	167	34	697	75	240	156	91.22
NM_014602.2	562	131	440	684	357	228	606.07	302.75	375	739	1078	1074	675	891	422	154	1960	1648	1544	859	793	572	173	615	665	896	867	1424	1058	1334	147.81	1145	323	2352
NM_014633.4	1345	546	803	1728	574	482	929.27	781	630.33	1620.95	2101.56	1714.61	1135.37	1776	550	262	3173	2710	2981	1161	1461.76	1470	492	1294	1556	1895	1999	2061.99	875.18	1535	2521	4334	2779	3839.38
NM_014655.3	398	44	215	662.64	382.7	145.78	87	452	252	719	781.32	777.6	412.9	568	1173	1350	2073.54	1948.16	1790.73	893.64	1147	2440.83	349.94	1501.96	541	793	760	1876	789	2603	227	214	94	705
NM_014701.3	4467	1489	3784	3806	1699	1217	878	1088	1891	2270	4074	4686.03	3009	4133	1124	502	4529	4256	5028	4166.96	1348	4084.96	2205.69	1719	2822	5800	4819	2258	900	1346	500	2595	1495	4266
NM_014721.2	166.19	0	261	117	67	390	850	110	80	212	406	660	336	398	219	47	1387	1084	1611	258	360	860	268	234	264.93	517	339.49	1774	635	497	34	172	368	747
NM_014723.3	2079	857	1716	1948	2869	4190	1939	955	2219	3567	1912	2253	1045	435	904	1110	1786	2533.11	2018.83	1254.06	1341	1758	1744	1433	3358	3656	2668	372	213	2223	87.28	870	230	880
NM_014764.3	5032.26	809.15	4558	4751	4162	2605	3676	2414.03	4217.82	5508.31	3170	3506.99	1967.99	3898	4199	3788	5502	4991	4693	1250	1585.69	5846	2213	3908	4032	4671	3756	5590	3218	5947	851	1248	721	5084
NM_014774.2	2685	779	1869	3203	1121	544	1253.25	1851	1573	3096	4350	4361	2444	2522.82	1804.46	958	441	386	408	2112	210	2393	391	2333	2281	3419	3556	509	250	1856	218	954	227	1308
NM_014795.3	1355.52	620.72	1465	1575	278	278	646	454.51	914	1015	1419	1694	1043	1046	437	84	2005	2112	2597	1847	936	1293	422.13	713	828	2247	1234	1365	734	386	124.84	1151.99	923.04	841
NM_014825.2	11	3	7	28	15	1	877	24.3	351.53	1403.91	953.73	927.28	392.28	929	1591	1440	0	40	28.31	130.95	437	241	6	314	516.17	673.62	913.55	424	243	1682	66	573	110	1208
NM_014830.2	139	35.5	0	154	86	71	54	72	114	219	508	409	244	435	569	449	491	472	422	88	51	414	23	215	153	230	294	48	39	75	62	199	27	539
NM_014892.4	25	2	23.02	250	12	11	1221	759	1210.86	2880.3	2039.68	1812.76	1149	1552.17	1075.82	656.29	2191	2001	1851	1174	1374	1040	435	1219	1104	1492	1795	981.63	672	1131.58	16	219	40	13314
NM_014911.3	2835	718	1841	4943	2126	1246	4047	1753	2587.01	6162.88	3538	4498	2486	6384	3028.41	1823.13	3247	2940	2509	3306	3557	2977	2346	2696	3486	6616	7322	2933	1621	2005	2446	2663	1987	3007
NM_015001.2	2330	569	1125	5863	1498	776	7844.9	1207	4297.27	7821.79	6906	6774	3777	1237	777	240	11304	10962	8943	7914.78	6366	6720.84	655	3919.59	4730	5555	7414	3736	1300	2749.94	4139	3132	1322	1982
NM_015020.3	565.61	102.76	340.32	540	151	27	793	339	78	603	1054	809	514	432	211	105	1225	1087	1198	877	668	686	271	832	665	905	1125	1567.53	903.74	112	8	962	141	1991
NM_015072.4	21	4	30	1716.07	1535	886	598	135.41	475	826	632.89	760	411.95	696	794	480	1526.68	1445.04	1591.55	672	85	2809.09	582.79	556	539.24	387.88	426.96	853	447	1347	569.3	713	308	646
NM_015103.2	309	196	491	191	64	99	107	345	213	330	362.39	398.59	157.76	2650.72	2949.83	3080.86	199	302.59	222	121	104	179	29	139	256.67	288.92	264.1	90	38	288	73	51	37	276.27
NM_015106.3	260	174	139	240	182	322.09	665.08	127	56.24	392.52	559	685	323	530	846	663	746.15	892.43	614.04	873.4	1029	1085.9	670	138.45	315	479	735	610	170	436.95	821.23	763	141	583
NM_015120.4	16	3	12	909.9	246.13	201	1139	386.58	410.03	595.76	1070.19	1034.76	741.75	626	97	44	2621.94	1928.8	2066.37	863	1626.94	846	136	828.51	389.74	495.39	759.38	1136.78	703	49	13	95.3	32	2117.32
NM_015130.2	4364.04	748	2850	6034	2927	2248	4782	2302.46	2154	5832	7524	7378	3562	6853	4487	3332	7788	8053	6571	4649	5606	8697	6728	1868	3451	5664	6304	6783	3203	6783	27	4765.86	811	8179
NM_015131.2	447	131	268	690	162	234	767	203	295.54	638.52	840	862	527	851	243	120	1066	857	737	559	489	631.74	218	599.81	441.25	661.52	733.44	783.83	372.4	649.39	25.53	972.61	435.27	982
NM_015135.2	0	0	4	23	0	0	1221.16	59	1047	1956	1157	950	585.93	995	345	163	2438.21	1824.84	1492.09	1082	672.62	1135	128	44	826.85	968	1230	35	44	3	4	1099	220	1579
NM_015138.4	3933.8	2201.41	3081.06	3431	815	753	676	1157	759	588	3829.65	4088.76	2497.96	1133.75	651.27	362.35	2239	2088	2409	3246	5062	5462	1716	4371.08	1452.73	1560.92	1978.35	7422	2246	4992	8446.97	7621	12003	1057.98
NM_015141.3	1767	552	1307	1139	555	201	1139.2	828	155	544	1130	913	589	1124	721	675	1136	1075	837	1252	1020	901	308	806	61	107	96	799	544	328	109	571.73	83	383
NM_015156.3	594	145	279	565	322	116	189	297	27.19	229.71	592	487	402	916.94	441.28	376	784	756	727	665	565	182	182	80.19	119	228	360	262	228	339	27.94	462	198.8	848
NM_015161.2	13405	2739	10867	8009	5461	5427	4457	3886	2972	3776.98	7794	5853	3993	7206	2697	3196	6067	5558	5654	1149	2010	2816	1738	5488	6681.46	7590.16	7694.91	8385	7186	3948.73	2270.81	9184.44	2920.22	11954
NM_015177.1	362	37	251	778	367	170	689	800	263	1434	774.94	912	415	2038	4727	6153	2715.91	2850.59	4009.52	310	1091.28	1799	562	1158.39	1947	2144	2045.89	2098	1377	349.53	7	192	40	919
NM_015251.2	853.73	141	613	1739	618	244	921	763	615	1213	923	1217	637	806	327	172	2813	2225	1959	674	1245	1447	52	551	510	876	950	1682.78	871	2986	39	1508.01	453	2254
NM_015323.4	390.5	149	295.38	429.83	62.77	51.17	1089	522	411.9	891	85	110	87	565	121	46	2240	1749	1593	999	988.91	887	173	253	218.13	673.32	731.56	1173	493	469	190	450	133.55	736.9
NM_015348.1	1336	353	717	1972	601	506	2139	884	1176.12	2340	2571.61	3041.63	1687	1996.17	1290.37	744.01	2581	2139	1832	179.37	1376	2683	282	1255.76	1352.31	1808.99	2317.84	1118.15	748.99	965.48	513.27	170	19.34	3003.35
NM_015356.4	251	52	124	1650.71	1985.88	3220	1018.76	291	2034.83	2596.29	922	882	432	847.57	1792.77	2305.85	449	812	518.21	194	395	1126	1454	153	1477	1341	1056	836	583	3304.64	1088.04	467	220	522
NM_015364.4	5.17	5.13	18	12	0	23	4	5	5	4.02	3	2	1	2	3	6	10	5	3	37.71	1	9	32	4	1	2	1	51	60	3	4	251	89	28
NM_015387.4	1622	437	1089	1170	656	1081	713	738	740	1601	1587	1469	1078	2035.7	794.74	528	1834.89	1738.65	1807.73	781	932	901	1268	1473	1630.91	1974.83	1278.39	1822.54	759.72	742.6	131	623.47	237.05	1030.76
NM_015394.4	24	7	15	361	102	60	26	233	278	559	86	69	68	39	20	7	297.36	182.16	208.35	132	180	79	21	43	24	46	83	43.42	49.21	115	23	96	45	41.63
NM_015409.4	1880	569	1009	2112	1122	583	1732.69	1014.01	1787	2627	2634.66	2009.65	1472.79	1386	2352	2544	3614	4496	2423	3081	1795	1116.88	240.83	1605	1042	1351	1835	2883	1976	1162	1928	1331	307	902
NM_015420.6	364	103	281	685	297	487	226	408	178	421	1240	1116	852	1706	785	960	303	276	262	260	164	270.45	72	279	1118	1446	1350	522.12	521.46	1014	109	544.14	155.43	669.33
NM_015423.2	2741	564	1677	3536.98	1557.47	809.77	1910	1617	1358	2207	3237	2730	1949	3034	1017	709	3549	3308	2672	907	575	1003	1381	2008	965	1941	1991	1088.41	401.14	216.95	122	781.01	179.94	1353
NM_015425.4	705	179	330	932	679	443	912	436	939.96	2327.88	1457.01	1176.36	676.62	833	1634	1607	1047.7	1379	922.1	683	739	686	117	501.06	828	825	1173	355	222	1068.23	22	202	59	782
NM_015430.3	110	55	30	2	0	0	54	32	19	73	164	37	73	142.89	182.59	253.87	4	7	10	16	0	101	63	61	172	252	162	311	194	231	20	276	114	1632
NM_015473.3	109	60	81	184.71	48	17	311	112	70	208	394	450	211	384	132	39	1699	1260	1179	747	828	240	2	47	198	336	406	227.9	239.7	506	336	1569.49	582.14	1363
NM_015474.3	293	50	199	204	20	31	143	411	50	233	603.02	484	258	494	406	444	235	278	263	57	142.51	76	0	365	339	506	586	125	165	42	117	245.95	111.58	168
NM_015475.4	1355	278	964	595	129	34	796	640	472	1155	1936	1210	892	1407	739	482	1382	1876	1994	464.47	535	661	449	363	1375	1510	1231	338	273	775	7	683	383	973
NM_015484.4	1923	665	1297	559.45	388.09	595.86	912	554	948	1090	992	969	565	908	433	371	1132.3	1194.19	1057.41	683	588.9	1519	1040	903	958	984	848	2276	1625.42	1818	1068	720	936	780
NM_015492.4	2	0	5	11	4.52	4	21	1	2705	3625	69	46	15	92	314	582	811	738	533	52	1.89	31	153	86	56	55	39	47	38	313	29	36	36	35
NM_015523.3	656.25	136.41	457.02	871.24	507.34	388.52	685	251	657	1222	731.6	377.4	268.48	392.51	198	163	532.45	768.08	653.11	294.23	148.13	98	20	487.01	316	331	313	458	557	794	117.15	264	155	429
NM_015540.3	439.15	105.77	273	981	592	514.39	433	703	524	1095	580	643	368	736	1388	1775	672	803	600.6	342	319.01	1141.66	340	379	755	761	781	955	1104	1535	677	1554	442	1998
NM_015542.3	3284	2201	2353	4054	645	941	2752	1312	2250	2706	2657	2558	1794	2428.04	372.18	89.31	2739	2658	3108	4472	3013.34	2079	1932	2340	2051	2492	2615	5415	2686	1923	6471	3837	4644	2165
NM_015557.2	1807	395	932	204	81	220	2815.94	1915.24	2971.08	6207.84	276	314	130	1348	2505	3371	3593.41	5072.91	3651.38	7063	5345.59	4978	563	778	3442.37	3851.57	3994.95	3091.53	1157.08	908	491.77	392	1021	412
NM_015634.3	2202	462	1551	2363	910	514	1557	1073.1	1433	3202	2285.65	2157.48	1460.96	2249	831	568	5818.7	4935.8	4311.1	835	1213.97	1512	502	1935	2088	2234	2164	1596	1118	1509	902.93	1230	487	2621.31
NM_015642.5	1468	1253	934	2455	389	1213	948	530	3824	935	4421	4317	3094	3136	443	90	3662	2899	3372	2311.49	1635	2188	3713	2039	675	2518	3588	2492	1657	2340	6757	3608	667	3347
NM_015675.3	309	134	205	145	206	226	349	183.55	426.21	207.89	240.1	317.78	70.19	122.38	255.47	350.96	193	284	179	28	89	585	1544	39.64	356	288	146	1093.92	324.36	1508	138.34	50	44	182
NM_015678.4	2172	490	1418	2280	1136	1116	4132	1209	1026.83	4842.11	9014.33	9855.58	5958.41	2268	414	229	961.18	801.79	1655.46	5457	5439	3012	664	2264	1859	1814	1904	2346	813	2170.1	639	1085	478	4989.62
NM_015688.1	0	0	0	33	15	17	117	40	20	31.19	1926	1499	1157	90	115	51	86.9	272.1	101.21	34	846	135	22	85	76.12	119.03	108.32	185.18	267.88	77.1	889.01	130	19	47
NM_015879.2	3861	1079	2365	5579	2355	613	3300.24	2431	2697.47	6229.67	4037	4010	2195	2905	1207	632	3680	3296	3515	1756	2917	1076	68	1473	2005	4270	4784	2076	1174	1957	234.99	2970	1051	8340.22
NM_015897.3	773	373	547	498.43	699	1068.78	496.68	493	380.13	879.44	708	715	351	1248.53	1987	2685.47	589.43	749.09	522.6	827.63	679.82	618	1286	360.9	944	919	936	939.99	551.42	1755.13	39	521	210	516.66
NM_015904.3	6695	5974	6255	4153	506	1187	3053.01	940	211	137	852	825	531	1154	350	102	2705	2852	3615	7999	3851	541	298	3041	3132	2674	2636	18669.28	7654.58	8670	19254	9685	14093	1526
NM_015913.3	720	127	716	1141	870	388	788	612	944	1054	658	695	326	537	393	370	1149	1119	846	263	161.89	1201	608	495	546	623	506	593.52	521.31	1365	103.16	766	364	1110
NM_015932.5	1778	477	1546	1074	859	685	617.92	677	1062	1127	1197.65	920.88	659.95	962	463	458	2156	1772	1819	236	663	1081	1278	1016.08	1584	1372	955	1772.76	1408.14	1345	552	632	295	1560
NM_015964.3	1251	307	1588	425	928	1749	119	224.8	450.82	431.56	285.66	231.43	98.82	53.63	209.3	258.28	350.34	339	320	156	24.79	1139	1055	223	194.68	159.2	37.39	1712	1107	1534	106	135	296	1114
NM_015995.3	113	23	127	5113	3535	792	1521	911	2698	7425	10742	7568	4225	352	1249	1658	297	849	801	996	967	1213	150.1	137	6566	7587	6129	707.51	620.41	4258.62	235	254	86	300.82
NM_016004.4	396.31	85.32	350	507.96	315.33	132	331	253	355	539	446.6	466.65	271.11	560	346	290	639.65	583	459.19	739	391.42	846	260	422.84	854.46	907.64	634.11	764	728	984	1066	473	290	988
NM_016023.3	383	82	224	696	247	174	315	217	13.86	157.77	2532.09	2028.52	1724.55	593	216	142	1239	1125	1159	387	631.58	273.09	258.64	133	611.52	1002.34	649.19	650	241	302.36	402	723	274	211
NM_016032.3	995	236	839	1119	996	537	870	486	282	827	873	695	430	754	1621	2036	2248	1778	1496	612	736.44	1103	368	443	730	1001	745	261.45	281.96	1510	120	417	359	703
NM_016041.4	300.37	108	224.6	248	193	96	216	153	189	307	339	281	177	305	344	324	476	573.35	571.13	180.6	121.88	307	80	186	548	576	571	309	239.38	264.26	67	146	67	228.06
NM_016052.3	512	95	258	345	180	228	191	170.57	156.24	213.81	252	198	202	364	68	48	866	782.13	646.67	585	709	953	817	317.77	178	237	192	405	135	540	2335	672.17	924.59	954
NM_016059.4	934	180	873	205	119	17	519	361	344.62	586	961	922	591	2225.57	2171.94	1856.52	505	428	334	203	187.08	408	167	780	712	862	777	2890	1855	515	7.28	85	39.85	295
NM_016080.3	1698.31	359.68	1329.72	1149	854	609	1831.67	724	1253	1208	623.66	488.99	274.93	1379	1129	1007	1601	1329	1230	534	536.57	1474	534	726	1075.9	936.22	838.92	943	545	1296	12	468.79	114.89	658
NM_016129.2	1356	265	1299	1007.74	941.54	591.55	748.3	632	811	1276	1240	1084	765	1275	560	628	1485.39	1351.11	1370.34	416.91	377.62	1273	948	1017	1423	1538	1115	2717	2231	1959	190.79	489	204	1159
NM_016131.4	2469	675	2000	3046.4	1743.48	2136.39	1699	1898	1373	3055	2916	2887	1736	3420	2581	2540	3646	3844	3679	2196	2065	1944	2218	1759	3239	4100	3037	3982	2354	3784	1224	2593	997	3974
NM_016142.2	1801	485	1488	1933	991	895	1439.81	691.42	992	1354	2598	2480.32	1285.75	1876	998	833	1682	1431	1448	1000	2471	1100	36	1930	1834	2178	1696	569	443	999	31.57	387	210	1063
NM_016144.3	485	149	316	544	566	547	266	245	203	396	299	245	197	596	368	446	458	381	329	167	215	354	366	303	541	571	371	474	541.07	435	193	353	243	1225.25
NM_016147.2	2444	462	1349	2445	1810	1026	2247	895	1431	2519	2549	2541	1374	2646	3766	4661	3339.24	3169.21	2344.31	1270	1343	3187	1017	1979	2745	2690	2664	2844	1886	3605.06	1193	1722	661	2678
NM_016166.2	954	347	635	681	130	178	1123	439.91	666	1373	882	1095	620	564	165	59	4972	4067	3740	799	2353	1956	1449	901	341	759	1001	1616	449	763	273	765	239	1986
